# gunzip -c /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set4/exp/mono_ali_clinician/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py /z/mkperez/PremanifestHD-classification/Data/Spont-Speech/set4/lang_all_clinician 
# Started at Mon Jan 28 18:51:05 EST 2019
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 46.8503937008% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 55.1181102362% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 53.1% of phone occurrences, with duration (median, mean, 95-percentile) is (6,12.8,41) frames.
At utterance begin, sil accounts for 46.9% of phone occurrences, with duration (median, mean, 95-percentile) is (17,24.5,74) frames.
At utterance begin, y_B accounts for 13.4% of phone occurrences, with duration (median, mean, 95-percentile) is (10,18.4,42) frames.
At utterance begin, ih_B accounts for 4.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,7.7,21) frames.
At utterance begin, ae_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (3,6.3,17) frames.
At utterance begin, w_B accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.4,33) frames.
At utterance begin, s_B accounts for 3.1% of phone occurrences, with duration (median, mean, 95-percentile) is (5,11.5,26) frames.
At utterance begin, ay_S accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (6,13.3,18) frames.
At utterance begin, dh_B accounts for 2.4% of phone occurrences, with duration (median, mean, 95-percentile) is (6,15.3,17) frames.
At utterance begin, b_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.6,11) frames.
At utterance begin, m_B accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.8,5) frames.
At utterance begin, ow_S accounts for 2.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,9.4,6) frames.
At utterance begin, ah_B accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,9.5,13) frames.
At utterance begin, iy_S accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,8.8,5) frames.
At utterance begin, flr_S accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (7,61.3,28) frames.
