id,frameTime,voiceProb_sma_range,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_nnz,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_stddev,HNR_sma_amean,HNR_sma_nnz,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_nnz,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_nnz,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_nnz,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_nnz,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0
26753-019,0.0,0.7378133000000001,0.1479869,0.6824932,186,186,185,1,56.10675,10.95155,5.099917,186,186,185,1,238.2688,41.504709999999996,129.0368,180,180,179,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,8.156033e-06,1.522622e-06,1.3145599999999998e-06,186,186,185,1
81392-002,0.0,0.6007034000000001,0.1543344,0.47529849999999996,46,46,45,1,172.5921,54.53976,17.67589,46,46,45,1,105.1108,31.37208,92.05904,30,30,29,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,5.0139139999999995e-06,1.1814260000000001e-06,6.130423e-07,46,46,45,1
56896-004,0.0,0.8714646,0.15443120000000002,0.6013485,625,625,624,1,477.8472,72.96426,27.77125,625,625,624,1,449.4923,87.74677,178.3116,562,562,561,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.2670816,0.01952826,0.39889559999999996,232,232,231,1,3.083332e-06,4.149129e-07,1.975764e-07,625,625,624,1
47939-009,0.0,0.7742041000000001,0.2006176,0.6246611,404,404,403,1,481.7488,87.33873,33.05941,404,404,403,1,442.9725,84.43438,197.755,336,336,335,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6.650896e-06,1.143525e-06,7.240549e-07,404,404,403,1
26753-006,0.0,0.6962294,0.18441359999999998,0.6240230999999999,186,186,185,1,38.51355,9.442567,3.237082,186,186,185,1,455.739,111.9821,148.8417,162,162,161,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,5.507856000000001e-06,9.497225999999999e-07,6.032433000000001e-07,186,186,185,1
80292-007,0.0,0.702853,0.25684989999999996,0.70916,96,96,95,1,62.462230000000005,16.75003,12.35903,96,96,95,1,413.8381,82.91788000000001,253.4694,75,75,74,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,9.199402000000001e-06,2.160847e-06,2.014513e-06,96,96,95,1
35063-003,0.0,0.8590193000000002,0.2251308,0.6546360999999999,746,746,745,1,488.6959,34.68051,11.24003,746,746,745,1,457.3295,113.7971,219.1847,631,631,630,1,0.1797628,0.07579338,0.2098319,256,256,255,1,0.1247653,0.01403122,0.1852186,97,97,96,1,0.1657662,0.07054387,0.07957827,361,361,204,157,7.88796e-06,1.049102e-06,6.372441e-07,746,746,745,1
56896-005,0.0,0.6346879,0.1679654,0.6608626999999999,175,175,174,1,36.2901,8.789066,6.236086,175,175,174,1,188.161,33.07823,136.2833,156,156,155,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,6.576583000000001e-06,8.984454000000001e-07,5.462293e-07,175,175,174,1
44574-000,0.0,0.5930025999999999,0.16133039999999998,0.6118857,205,205,204,1,323.229,58.50201,22.6565,205,205,204,1,346.2296,62.973980000000005,134.8321,176,176,175,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,1.941694e-06,3.2913890000000003e-07,1.6769300000000002e-07,205,205,204,1
81392-021,0.0,0.7554510999999999,0.23524130000000001,0.6207231,395,395,394,1,183.6815,21.48806,7.386228999999999,395,395,394,1,442.0955,110.9532,216.8388,304,304,303,1,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0.20291610000000002,0.02006605,0.30195859999999997,126,126,125,1,8.828242e-06,1.7175040000000002e-06,1.104453e-06,395,395,394,1
