id,frameTime,voiceProb_sma_range,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_duration,voiceProb_sma_upleveltime0.0,voiceProb_sma_downleveltime0.0,HNR_sma_range,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_duration,HNR_sma_upleveltime0.0,HNR_sma_downleveltime0.0,F0_sma_range,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_duration,F0_sma_upleveltime0.0,F0_sma_downleveltime0.0,jitterLocal_sma_range,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_duration,jitterLocal_sma_upleveltime0.0,jitterLocal_sma_downleveltime0.0,jitterDDP_sma_range,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_duration,jitterDDP_sma_upleveltime0.0,jitterDDP_sma_downleveltime0.0,shimmerLocal_sma_range,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_duration,shimmerLocal_sma_upleveltime0.0,shimmerLocal_sma_downleveltime0.0,pcm_intensity_sma_range,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_duration,pcm_intensity_sma_upleveltime0.0,pcm_intensity_sma_downleveltime0.0,label
26753-019,0.0,0.7378133000000001,0.00036187080000000003,0.11394569999999998,0.1479869,0.6824932,186,185,1,56.10675,0.05043894,8.370948,10.95155,5.099917,186,185,1,238.2688,0.1202202,32.940690000000004,41.504709999999996,129.0368,180,179,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,8.156033e-06,-6.603088e-10,1.113031e-06,1.522622e-06,1.3145599999999998e-06,186,185,1,0
81392-002,0.0,0.6007034000000001,-0.0005677392,0.1357762,0.1543344,0.47529849999999996,46,45,1,172.5921,1.9492180000000001,35.42026,54.53976,17.67589,46,45,1,105.1108,0.37765820000000005,26.55327,31.37208,92.05904,30,29,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.0139139999999995e-06,1.6690679999999999e-09,7.897904e-07,1.1814260000000001e-06,6.130423e-07,46,45,1,3
56896-004,0.0,0.8714646,0.0001415536,0.12133730000000001,0.15443120000000002,0.6013485,625,624,1,477.8472,0.008431113,40.39148,72.96426,27.77125,625,624,1,449.4923,0.08466218,69.259,87.74677,178.3116,562,561,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.2670816,4.4338779999999995e-05,0.004470662,0.01952826,0.39889559999999996,232,231,1,3.083332e-06,-2.473222e-10,2.2601570000000003e-07,4.149129e-07,1.975764e-07,625,624,1,3
47939-009,0.0,0.7742041000000001,0.0003535646,0.1701971,0.2006176,0.6246611,404,403,1,481.7488,-0.257334,45.94986,87.33873,33.05941,404,403,1,442.9725,-0.4340901,56.42685,84.43438,197.755,336,335,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.650896e-06,2.757917e-09,7.508264e-07,1.143525e-06,7.240549e-07,404,403,1,0
26753-006,0.0,0.6962294,-0.0007020866000000001,0.1488606,0.18441359999999998,0.6240230999999999,186,185,1,38.51355,-0.03739197,7.6685929999999995,9.442567,3.237082,186,185,1,455.739,-1.512607,67.58955999999999,111.9821,148.8417,162,161,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,5.507856000000001e-06,-3.232566e-09,6.419505e-07,9.497225999999999e-07,6.032433000000001e-07,186,185,1,0
80292-007,0.0,0.702853,-0.005602358000000001,0.1785807,0.25684989999999996,0.70916,96,95,1,62.462230000000005,-0.39291370000000003,10.80407,16.75003,12.35903,96,95,1,413.8381,-2.594035,43.846579999999996,82.91788000000001,253.4694,75,74,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,9.199402000000001e-06,-7.622486e-09,1.7012110000000002e-06,2.160847e-06,2.014513e-06,96,95,1,3
35063-003,0.0,0.8590193000000002,-0.00010820040000000002,0.1918581,0.2251308,0.6546360999999999,746,745,1,488.6959,0.01585767,15.59627,34.68051,11.24003,746,745,1,457.3295,-0.12533160000000002,87.34907,113.7971,219.1847,631,630,1,0.1797628,-0.0008361769,0.03508299,0.07579338,0.2098319,256,255,1,0.1247653,0.0001173036,0.004791785,0.01403122,0.1852186,97,96,1,0.1657662,-0.0002389608,0.06476932,0.07054387,0.07957827,361,204,157,7.88796e-06,-5.517947e-10,6.859875e-07,1.049102e-06,6.372441e-07,746,745,1,3
56896-005,0.0,0.6346879,-0.001713794,0.1144976,0.1679654,0.6608626999999999,175,174,1,36.2901,-0.08521848,6.067252,8.789066,6.236086,175,174,1,188.161,-0.27384000000000003,17.96045,33.07823,136.2833,156,155,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,6.576583000000001e-06,3.3216609999999998e-09,5.719473e-07,8.984454000000001e-07,5.462293e-07,175,174,1,3
44574-000,0.0,0.5930025999999999,0.0010051819999999999,0.12523030000000002,0.16133039999999998,0.6118857,205,204,1,323.229,0.1059339,31.257379999999998,58.50201,22.6565,205,204,1,346.2296,-0.4558927,44.93379,62.973980000000005,134.8321,176,175,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.941694e-06,1.374483e-09,1.911363e-07,3.2913890000000003e-07,1.6769300000000002e-07,205,204,1,3
81392-021,0.0,0.7554510999999999,-0.00025483360000000003,0.20991420000000002,0.23524130000000001,0.6207231,395,394,1,183.6815,-0.0047248229999999995,12.23676,21.48806,7.386228999999999,395,394,1,442.0955,-0.162708,84.67567,110.9532,216.8388,304,303,1,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.20291610000000002,0.00011351690000000001,0.0060992419999999995,0.02006605,0.30195859999999997,126,125,1,8.828242e-06,-3.464215e-11,1.270021e-06,1.7175040000000002e-06,1.104453e-06,395,394,1,3
