,frameTime,voiceProb_sma_max,voiceProb_sma_min,voiceProb_sma_linregc1,voiceProb_sma_linregerrA,voiceProb_sma_stddev,voiceProb_sma_amean,voiceProb_sma_nnz,voiceProb_sma_duration,HNR_sma_max,HNR_sma_min,HNR_sma_linregc1,HNR_sma_linregerrA,HNR_sma_stddev,HNR_sma_amean,HNR_sma_nnz,HNR_sma_duration,F0_sma_max,F0_sma_min,F0_sma_linregc1,F0_sma_linregerrA,F0_sma_stddev,F0_sma_amean,F0_sma_nnz,F0_sma_duration,F0raw_sma_max,F0raw_sma_min,F0raw_sma_linregc1,F0raw_sma_linregerrA,F0raw_sma_stddev,F0raw_sma_amean,F0raw_sma_nnz,F0raw_sma_duration,jitterLocal_sma_max,jitterLocal_sma_min,jitterLocal_sma_linregc1,jitterLocal_sma_linregerrA,jitterLocal_sma_stddev,jitterLocal_sma_amean,jitterLocal_sma_nnz,jitterLocal_sma_duration,jitterDDP_sma_max,jitterDDP_sma_min,jitterDDP_sma_linregc1,jitterDDP_sma_linregerrA,jitterDDP_sma_stddev,jitterDDP_sma_amean,jitterDDP_sma_nnz,jitterDDP_sma_duration,jitterLocEnv_sma_max,jitterLocEnv_sma_min,jitterLocEnv_sma_linregc1,jitterLocEnv_sma_linregerrA,jitterLocEnv_sma_stddev,jitterLocEnv_sma_amean,jitterLocEnv_sma_nnz,jitterLocEnv_sma_duration,jitterDEnv_sma_max,jitterDEnv_sma_min,jitterDEnv_sma_linregc1,jitterDEnv_sma_linregerrA,jitterDEnv_sma_stddev,jitterDEnv_sma_amean,jitterDEnv_sma_nnz,jitterDEnv_sma_duration,shimmerLocal_sma_max,shimmerLocal_sma_min,shimmerLocal_sma_linregc1,shimmerLocal_sma_linregerrA,shimmerLocal_sma_stddev,shimmerLocal_sma_amean,shimmerLocal_sma_nnz,shimmerLocal_sma_duration,shimmerLocEnv_sma_max,shimmerLocEnv_sma_min,shimmerLocEnv_sma_linregc1,shimmerLocEnv_sma_linregerrA,shimmerLocEnv_sma_stddev,shimmerLocEnv_sma_amean,shimmerLocEnv_sma_nnz,shimmerLocEnv_sma_duration,pcm_intensity_sma_max,pcm_intensity_sma_min,pcm_intensity_sma_linregc1,pcm_intensity_sma_linregerrA,pcm_intensity_sma_stddev,pcm_intensity_sma_amean,pcm_intensity_sma_nnz,pcm_intensity_sma_duration,NUV,UV-V-portion,reg_label,dys_label,label
18261,0.025,0.9014063,0.07720246,-0.0001961665,0.07786489999999999,0.14377879999999998,0.8114756999999999,1208,1208,460.517,-17.12119,0.05123954,38.91393,88.04429,37.14993,1208,1208,406.7943,0.0,-0.03331137,20.20274,42.11172,147.5258,1143,1208,468.4477,0.0,-0.01916522,16.62792,43.35012,151.7733,1165,1208,0.6094919,0,1.856328e-05,0.01934299,0.05533163,0.01625659,1154,1208,0.6094919,0.0,4.5450790000000015e-05,0.02832929,0.06188969999999999,0.02258418,1200,1208,0.5825967,0.0,2.301367e-05,0.02581481,0.07125136,0.01887074,1153,1208,0.5825967,0.0,3.319785e-05,0.02891471,0.07255083,0.02195635,1199,1208,0.5730781999999999,0.0,6.852549e-05,0.04033273,0.06787477,0.07036942,1157,1208,0.6261211999999999,0.0,0.0001578183,0.05748032,0.11159389999999997,0.09093731,1200,1208,1.216638e-05,7.00316e-10,-1.77366e-09,1.194543e-06,1.796086e-06,1.601258e-06,1208,1208,65,0.05380794701986755,9,0,2
07920,0.025,0.9007747,0.1551246,-9.92792e-05,0.05768667,0.1090208,0.7024699999999999,998,998,159.7022,-25.54671,-0.004937906,3.236653,10.0557,8.682654,998,998,492.3076,0.0,0.03027827,32.85119,71.40594,114.3075,985,998,492.3076,63.68159,0.1030395,47.18446,88.20631,122.9335,998,998,0.6245816,0,2.856252e-05,0.0315465,0.06581593,0.02846586,995,998,0.6245816,9.383282e-05,2.864463e-05,0.03153011,0.06580013,0.02850968,998,998,0.7691399,0.0,5.401467e-06,0.030629000000000003,0.06667734,0.02576634,992,998,0.7691399,6.6374760000000014e-06,5.561899e-06,0.03059959,0.06665403,0.02584224,998,998,0.5747007,0.0,4.957008e-05,0.04761772,0.07202991,0.08690902,996,998,0.5747007,0.0002418598,5.026477e-05,0.04740669,0.07189943,0.087281,998,998,1.258058e-05,1.940257e-10,-1.290643e-09,7.052332e-07,1.226877e-06,8.299658000000002e-07,998,998,13,0.013026052104208416,11,0,0
44209,0.025,0.9424986,0.0664789,-0.0001044692,0.07832777,0.1432892,0.8592787000000001,1378,1378,460.517,-6.066954,0.02065219,29.68731,75.83884,36.99257,1378,1378,407.8633,0.0,-0.00503848,22.05517,46.2333,193.1913,1324,1378,468.556,0.0,0.006447715,18.53045,43.17624,196.8287,1344,1378,0.5211743,0,1.348174e-05,0.02874871,0.06450815,0.02765175,1336,1378,0.5211743,0.0,1.714526e-05,0.03712296,0.07214680000000001,0.03389904,1375,1378,0.676089,0.0,6.148632e-06,0.03516264,0.08215739,0.02868746,1334,1378,0.676089,0.0,1.238098e-05,0.03975358,0.08407424,0.03270361,1375,1378,0.7272486,0.0,5.186819000000001e-05,0.04423549,0.08220473,0.07813584,1344,1378,0.7272486,0.0,6.359239000000001e-05,0.05451483,0.1005996,0.08892661,1376,1378,2.445194e-06,4.618536e-10,-3.217255e-10,1.965638e-07,3.124126e-07,3.08765e-07,1378,1378,54,0.03918722786647315,13,0,0
24371,0.025,0.9572193,0.2490096,-0.00078398,0.1645671,0.2175866,0.7612681,408,408,460.517,-15.15546,0.28813,65.82983,111.3978,59.26696,408,408,484.9598,0.0,-0.03967311,66.42818,99.9726,203.0175,378,408,487.4091,0.0,-0.05514871,68.39139,99.97992,205.8942,388,408,0.6764455,0,0.0001643041,0.05916196,0.1021509,0.0469702,368,408,0.6764455,0.0004035282,0.0002788444,0.0742126,0.113382,0.06816766,408,408,0.9057038,0.0,0.0001877803,0.0591125,0.1144124,0.04529355,363,408,0.9057038,0.00032472990000000004,0.0002978976,0.06751581,0.1201763,0.06584924,408,408,0.9344298,0.0,0.000204547,0.09050297,0.134974,0.09816033,381,408,1.0,0.002358741,0.0003437501,0.1108198,0.16546470000000002,0.1329293,408,408,4.872212e-06,3.3277159999999996e-11,-2.123564e-09,3.30886e-07,6.302003e-07,3.562662000000001e-07,408,408,30,0.07352941176470587,13,0,2
29735,0.025,0.9255581,0.0290032,-2.579256e-05,0.04628873,0.1046832,0.8713318000000001,2418,2418,460.517,-11.47869,-0.006133316999999999,11.45096,45.59797,26.494840000000003,2418,2418,458.0652,0.0,0.003011771,14.7347,33.76276,185.1352,2382,2418,477.6119,0.0,0.005181429,12.71459,35.77317,188.2267,2399,2418,1.0,0,2.057568e-05,0.02538419,0.07182377,0.02049455,2389,2418,1.0,0.0,2.233681e-05,0.02929932,0.07609664,0.02287121,2412,2418,1.0,0.0,2.153153e-05,0.03005992,0.08243925,0.02120598,2388,2418,1.0,0.0,1.854021e-05,0.03408019,0.08531851,0.02392059,2414,2418,0.4507108,0.0,2.125122e-05,0.02870134,0.04785326,0.06638092,2397,2418,0.4507108,0.001159448,1.804399e-05,0.0338813,0.06003697,0.07131739,2418,2418,7.68778e-06,3.060521e-10,-2.87377e-10,3.876891e-07,6.623594e-07,4.900734e-07,2418,2418,36,0.014888337468982632,13,0,0
73828,0.025,0.9463856,0.1873435,5.277105e-05,0.08649276,0.1316861,0.8688306999999998,1978,1978,460.517,-14.00457,0.01200445,15.53525,50.44679,29.615790000000004,1978,1978,484.8485,0.0,0.01389431,17.54307,39.99423,195.0152,1949,1978,484.8485,0.0,0.01507408,18.01161,40.06429,195.5702,1961,1978,0.8986675999999999,0,-4.084760000000001e-05,0.05307315,0.1024772,0.03868923,1954,1978,0.8986675999999999,0.0001268974,-3.382388e-05,0.05980018,0.10708689999999997,0.04304928,1978,1978,0.9873991,0.0,-5.022444e-05,0.06593539999999999,0.126751,0.04638501,1949,1978,0.9873991,3.609546e-05,-4.839201e-05,0.07066251,0.1285531,0.04991371,1978,1978,0.7720613000000001,0.0,-4.140799e-05,0.05670795,0.09285676,0.05630216,1960,1978,0.7720613000000001,0.0006353976,-3.934694e-05,0.06294166,0.09964693,0.06119934,1978,1978,2.449935e-05,2.071697e-10,-6.439376e-11,3.974507e-06,5.08112e-06,4.704495e-06,1978,1978,29,0.014661274014155713,9,0,2
11739,0.025,0.9120126,0.08442596,-0.0001920085,0.06204438,0.1216271,0.8351648000000002,1198,1198,460.517,-13.29579,0.01690298,12.88395,33.938759999999995,23.40861,1198,1198,492.3076,0.0,0.0005993703,18.28294,44.02766,159.1094,1193,1198,492.3076,0.0,0.01577984,26.95878,56.6717,165.7794,1197,1198,0.5017228,0,5.710625e-05,0.028823,0.06254844,0.02177423,1191,1198,0.5017228,0.000114907,7.541846e-05,0.03601039,0.07004852,0.02571225,1198,1198,0.6605206,0.0,5.970944e-05,0.02963278,0.06778518,0.02110445,1189,1198,0.6605206,1.536078e-06,7.914392e-05,0.03713712,0.07964856,0.02534347,1198,1198,0.8327882999999999,0.0,8.818245000000001e-05,0.04809823,0.09487303,0.08431627,1195,1198,0.8987654,0.002135307,0.0001145168,0.05519795,0.11024380000000003,0.08995584,1198,1198,1.009352e-05,1.299449e-10,-4.16404e-09,8.611060999999998e-07,1.892114e-06,1.786956e-06,1198,1198,5,0.0041736227045075115,10,0,0
00359,0.025,0.9496744,0.041907099999999996,-4.736786e-05,0.07835215,0.1269882,0.806709,1788,1788,460.517,-13.520999999999999,0.0248676,20.48671,53.82506,24.19069,1788,1788,483.6424,0.0,-0.01301295,12.66771,31.42138,138.9972,1762,1788,484.8485,0.0,-0.007158028,11.47622,32.54515,138.9805,1771,1788,0.7200681999999999,0,3.976229e-06,0.03622667,0.08437641,0.02807698,1760,1788,0.7200681999999999,0.00012268790000000002,2.126558e-05,0.04383453,0.09124593,0.03356004,1788,1788,1.0,0.0,6.607894e-06,0.03951865,0.0972715,0.02894229,1759,1788,1.0,0.0002933945,2.207006e-05,0.04664372,0.1022492,0.03414087,1788,1788,0.8673267,0.0,1.670472e-05,0.05461705,0.0965733,0.06586629,1760,1788,0.8673267,0.0,3.4529109999999995e-05,0.06061253,0.1049153,0.07162454,1781,1788,7.461163000000001e-08,2.214643e-12,-4.256711e-12,5.936928000000002e-09,8.738398000000001e-09,8.013048e-09,1788,1788,26,0.0145413870246085,9,0,2
47939,0.025,0.9403282,0.1764241,-2.527027e-05,0.06015621,0.1198082,0.8961231,1208,1208,460.517,-12.91632,-0.012331700000000001,13.79229,46.04497,31.61933,1208,1208,450.3629,0.0,0.01051444,14.9523,37.88805,197.9849,1181,1208,482.7944,0.0,0.006854776999999999,10.68698,32.44279,201.8171,1200,1208,0.7707384,0,3.083348e-05,0.0258957,0.06984558,0.01761346,1196,1208,0.7707384,8.096785e-05,3.134744e-05,0.03396203,0.07838859,0.02239695,1208,1208,0.6588034,0.0,1.402867e-05,0.02245791,0.06082075,0.01513077,1190,1208,0.6588034,0.0001107959,2.111831e-05,0.03027565,0.06862029,0.01962477,1208,1208,0.6702201999999999,0.0,3.836273e-05,0.033264,0.07207816,0.05030637,1200,1208,0.8712011000000001,0.0002838001,4.004273e-05,0.04298225,0.09049105,0.05695769,1208,1208,1.261951e-05,2.071697e-10,-1.274235e-09,1.417828e-06,2.050208e-06,1.6194579999999996e-06,1208,1208,27,0.022350993377483443,13,0,0
53870,0.025,0.9746704,0.3042767,-0.0006141863,0.1091466,0.1780055,0.7769640999999999,578,578,163.8368,-20.46694,-0.04282233,8.417157000000001,18.64202,16.2872,578,578,468.7521,68.26177,-0.1501502,50.49822,76.1968,194.799,578,578,482.5105,50.11081,-0.09096280000000001,61.92496,86.52552,202.0861,578,578,0.889059,0,0.0002824036,0.07412086,0.1352269,0.06483719,574,578,0.889059,0.0,0.0002901363,0.07496399,0.1359567,0.06590406,574,578,0.9819541,0.0002698846,0.0002957094,0.08320531,0.1552219,0.06944627,578,578,0.9819541,0.0002698846,0.0003327645,0.09178428,0.1699886,0.07657169999999999,578,578,0.7585152,0.0005013383,0.0003843621,0.08206244,0.1425797,0.09655561,578,578,0.7585152,0.0005013383,0.0003856736,0.08263489,0.143204,0.09764633,578,578,1.991345e-05,4.993012e-11,-1.297515e-08,2.19521e-06,3.833844e-06,2.874971e-06,578,578,0,0.0,7,1,2
